courseId,studentId,isTopPerformer,isTest,abs_score,howManyHasLowerScore,totalScore,mentorId,repository,score_172.0,score_173.0,score_174.0,score_175.0,score_176.0,score_177.0,score_178.0,score_179.0,score_180.0,score_181.0,score_182.0,score_183.0,score_184.0,score_185.0,score_186.0,score_187.0,score_188.0,score_189.0,score_N/A
4,3290,False,False,0.5230978260869565,0.711340206185567,1155.0,316.0,N/A,117,0,77,100,100,87,77,103,0,57,16,55,83,50,90,90,53,0,0
4,3256,False,False,0.5230978260869565,0.711340206185567,1155.0,314.0,N/A,27,0,70,100,100,81,80,96,80,60,25,86,0,70,100,100,0,80,0
4,3315,False,False,0.5221920289855072,0.6907216494845361,1153.0,314.0,N/A,0,5,60,100,100,89,92,105,75,75,24,83,0,100,100,90,0,55,0
4,3294,False,False,0.5221920289855072,0.6907216494845361,1153.0,314.0,N/A,129,0,80,100,90,85,90,97,65,55,22,76,0,70,94,60,0,40,0
4,3379,False,False,0.5190217391304348,0.6804123711340206,1146.0,317.0,N/A,211,0,94,100,100,0,0,0,91,98,16,55,0,50,97,90,79,65,0
4,3382,False,False,0.5153985507246377,0.6597938144329897,1138.0,315.0,N/A,48,0,75,100,100,85,85,90,80,80,0,0,0,80,100,80,85,50,0
4,3275,False,False,0.5153985507246377,0.6597938144329897,1138.0,317.0,N/A,262,0,85,100,100,0,0,0,70,66,24,83,0,70,65,90,73,50,0
4,3296,False,False,0.49320652173913043,0.6494845360824743,1089.0,317.0,N/A,5,15,75,100,100,88,0,0,87,97,19,66,0,80,100,100,92,65,0
4,3272,False,False,0.4882246376811594,0.6391752577319587,1078.0,315.0,N/A,70,0,92,100,100,77,0,0,86,89,24,83,0,50,82,90,85,50,0
4,3295,False,False,0.4791666666666667,0.6288659793814433,1058.0,N/A,N/A,808,0,0,100,90,0,0,0,0,0,0,0,0,0,0,60,0,0,0
4,3293,False,False,0.46648550724637683,0.6185567010309279,1030.0,315.0,N/A,15,0,90,100,100,80,85,90,65,50,13,45,0,60,57,60,65,55,0
4,3267,False,False,0.4651268115942029,0.6082474226804123,1027.0,317.0,N/A,254,0,63,100,100,85,0,0,64,42,21,72,0,40,56,0,60,70,0
4,3302,False,False,0.45606884057971014,0.5979381443298969,1007.0,314.0,N/A,9,0,0,100,100,78,80,107,50,40,22,76,0,80,100,90,0,75,0
4,3269,False,False,0.4338768115942029,0.5876288659793815,958.0,314.0,N/A,0,10,0,100,100,90,85,82,15,80,16,55,0,70,100,100,0,55,0
4,3291,False,False,0.42844202898550726,0.5773195876288659,946.0,315.0,N/A,0,0,60,100,80,65,60,80,60,50,17,59,0,80,63,70,47,55,0
4,3280,False,False,0.42436594202898553,0.5670103092783505,937.0,315.0,N/A,0,-5,75,100,100,75,80,85,80,70,0,0,0,80,0,80,67,50,0
4,3298,False,False,0.42346014492753625,0.5567010309278351,935.0,N/A,N/A,394,0,55,100,100,70,75,0,0,75,17,59,0,-10,0,0,0,0,0
4,3264,False,False,0.41757246376811596,0.5463917525773195,922.0,317.0,N/A,4,0,83,100,100,0,0,0,90,91,18,62,0,50,97,80,82,65,0
4,3365,False,False,0.40806159420289856,0.5360824742268041,901.0,314.0,N/A,4,20,0,100,100,89,77,108,50,30,21,72,0,60,10,100,0,60,0
4,3281,False,False,0.4048913043478261,0.5257731958762887,894.0,317.0,N/A,4,10,81,100,100,0,0,0,75,74,8,28,0,90,100,60,84,80,0
4,3286,False,False,0.40217391304347827,0.5154639175257731,888.0,314.0,N/A,3,0,0,100,80,78,75,82,70,45,13,45,0,70,87,70,0,70,0
4,3289,False,False,0.3903985507246377,0.5051546391752577,862.0,317.0,N/A,18,0,78,100,100,0,0,0,42,79,23,79,0,70,95,90,88,0,0
4,3263,False,False,0.389945652173913,0.4948453608247423,861.0,314.0,N/A,4,10,0,100,100,89,60,79,35,30,16,55,0,60,53,100,0,70,0
4,3278,False,False,0.38722826086956524,0.4845360824742268,855.0,317.0,N/A,5,0,89,100,100,0,0,0,62,40,15,52,0,80,100,60,82,70,0
4,3366,False,False,0.38405797101449274,0.4742268041237113,848.0,N/A,N/A,474,10,81,100,100,0,0,0,0,0,21,72,0,-10,0,0,0,0,0
4,3257,False,False,0.3808876811594203,0.4639175257731959,841.0,314.0,N/A,4,0,85,100,100,75,76,57,40,10,10,34,0,80,100,70,0,0,0
4,3364,False,False,0.36231884057971014,0.4536082474226804,800.0,314.0,N/A,5,0,0,100,100,82,55,53,45,30,25,86,0,50,89,80,0,0,0
4,3301,False,False,0.3496376811594203,0.44329896907216493,772.0,N/A,N/A,279,0,85,100,100,90,0,0,0,0,11,38,69,0,0,0,0,0,0
4,3383,False,False,0.33016304347826086,0.4329896907216495,729.0,317.0,N/A,4,10,100,100,100,87,0,0,25,25,18,62,0,20,68,60,0,50,0
4,3299,False,False,0.307518115942029,0.422680412371134,679.0,314.0,N/A,7,0,0,100,100,89,75,69,30,30,11,38,0,10,0,60,0,60,0
4,3300,False,False,0.30434782608695654,0.41237113402061853,672.0,N/A,N/A,69,0,87,100,100,94,91,41,0,38,14,48,0,-10,0,0,0,0,0
4,3288,False,False,0.27943840579710144,0.4020618556701031,617.0,N/A,N/A,4,10,95,100,100,100,95,0,0,70,12,41,0,-10,0,0,0,0,0
4,3322,False,False,0.2617753623188406,0.3917525773195876,578.0,N/A,N/A,290,20,0,100,0,0,0,0,0,0,22,76,0,0,0,70,0,0,0
4,3312,False,False,0.25226449275362317,0.38144329896907214,557.0,N/A,N/A,457,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3259,False,False,0.24094202898550723,0.3711340206185567,532.0,314.0,N/A,3,0,0,100,100,80,80,69,0,0,0,0,0,40,0,60,0,0,0
4,3317,False,False,0.23052536231884058,0.36082474226804123,509.0,N/A,N/A,378,0,0,100,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0
4,3323,False,False,0.213768115942029,0.35051546391752575,472.0,N/A,N/A,287,0,0,100,0,0,0,0,0,0,19,66,0,0,0,0,0,0,0
4,3304,False,False,0.20923913043478262,0.3402061855670103,462.0,N/A,N/A,262,0,0,100,0,0,0,0,0,0,9,31,0,0,0,60,0,0,0
4,3287,False,False,0.1634963768115942,0.32989690721649484,361.0,N/A,N/A,4,0,91,100,100,0,0,0,0,0,17,59,0,-10,0,0,0,0,0
4,3303,False,False,0.15896739130434784,0.31958762886597936,351.0,N/A,N/A,4,0,67,100,100,0,0,0,0,0,0,0,0,0,0,80,0,0,0
4,3282,False,False,0.15806159420289856,0.30927835051546393,349.0,N/A,N/A,9,0,60,100,100,80,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3363,False,False,0.15760869565217392,0.29896907216494845,348.0,N/A,N/A,4,0,87,100,100,0,0,0,0,0,15,52,0,-10,0,0,0,0,0
4,3380,False,False,0.1480978260869565,0.28865979381443296,327.0,N/A,N/A,69,0,0,100,0,0,0,0,0,0,22,76,0,0,0,60,0,0,0
4,3375,False,False,0.13451086956521738,0.27835051546391754,297.0,N/A,N/A,5,0,0,100,0,0,0,0,0,0,14,48,0,0,0,80,0,50,0
4,3305,False,False,0.1286231884057971,0.26804123711340205,284.0,N/A,N/A,2,0,0,100,0,0,0,0,0,0,23,79,0,0,0,80,0,0,0
4,3311,False,False,0.11684782608695653,0.24742268041237114,258.0,N/A,N/A,5,0,0,100,0,0,0,0,0,0,21,72,0,0,0,0,0,60,0
4,3328,False,False,0.11684782608695653,0.24742268041237114,258.0,N/A,N/A,0,0,0,100,0,0,0,0,0,0,22,76,0,-10,0,70,0,0,0
4,3316,False,False,0.10552536231884058,0.23711340206185566,233.0,N/A,N/A,4,0,49,100,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3376,False,False,0.09963768115942029,0.2268041237113402,220.0,N/A,N/A,120,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3320,False,False,0.08152173913043478,0.21649484536082475,180.0,N/A,N/A,4,0,0,100,0,0,0,0,0,0,17,59,0,0,0,0,0,0,0
4,3319,False,False,0.06521739130434782,0.20618556701030927,144.0,N/A,N/A,4,0,0,100,0,0,0,0,0,0,9,31,0,0,0,0,0,0,0
4,3307,False,False,0.057971014492753624,0.1958762886597938,128.0,N/A,N/A,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3325,False,False,0.049365942028985504,0.17525773195876287,109.0,N/A,N/A,9,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3309,False,False,0.049365942028985504,0.17525773195876287,109.0,N/A,N/A,4,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3327,False,False,0.04710144927536232,0.16494845360824742,104.0,N/A,N/A,4,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3324,False,False,0.04619565217391304,0.15463917525773196,102.0,N/A,N/A,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3326,False,False,0.03215579710144927,0.14432989690721648,71.0,N/A,N/A,4,0,0,0,0,0,0,0,0,0,15,52,0,0,0,0,0,0,0
4,3297,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3329,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3321,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3313,UNKNOWN,True,0.0,0.0,0.0,314.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3308,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3306,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3292,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3284,UNKNOWN,True,0.0,0.0,0.0,316.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3283,UNKNOWN,True,0.0,0.0,0.0,317.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3277,UNKNOWN,True,0.0,0.0,0.0,317.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3266,UNKNOWN,True,0.0,0.0,0.0,317.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3260,UNKNOWN,True,0.0,0.0,0.0,314.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3254,UNKNOWN,True,0.0,0.0,0.0,315.0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4739,UNKNOWN,True,0.0,0.0,0.0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
